,Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Images,Last Visited
319,NikeCourt Lite 2,AR8836-009,0,4995,0,Nike,"The NikeCourt Lite 2 is designed to cushion and support your feet during training and play. Created specifically for hard courts, its unique outsole features five distinctive patterns. Each pattern is designed to visually outline 1 of the 5 basic movements new tennis players learn.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/rrf5ufweu5hzlqrrypdz/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dqlye9nxxscobefdjpoi/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pgvtyljyuy6n529rff0p/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h0g672clgm46vqr86qpx/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pkbbousbyyrybdmmsuia/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ai01btmoom4yxgl3k2x9/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/zxgx3ouytlrsomvgh5g9/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tehurgktqtlyquwspfbc/nikecourt-lite-2-hard-court-tennis-shoe-RzbD9h.jpg""]",2020-04-13T15:32:34
307,Nike Mercurial Vapor 13 Club IC,AT7997-606,0,4995,0,Nike,"The Nike Mercurial Vapor 13 Club IC is made for high-speed play. A synthetic upper wraps your foot for streamlined speed, while a rubber outsole gives you the traction you need to strike fast.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/e231e5f0-f009-4117-9861-75a3ce3cb9e1/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/91268529-c0ea-4cb0-80e2-6dfbc86a5b84/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/840273f2-eb60-4891-a686-cb0d1988c620/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/8baf7e32-36ad-46e6-9a33-f134ec0d43f9/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3e455b55-f988-43eb-a763-2eecd24b8106/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/842d311e-d31a-45b9-be41-bfddcf06a7cb/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/54f9ee6f-a53c-4e7a-a3a8-0c47c3ccd022/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6f29ff1f-17c9-4ea0-bc95-c7365b024497/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg""]",2020-04-13T15:32:30
57,Nike Mercurial Vapor 13 Club IC,AT7997-606,0,4995,0,Nike,"The Nike Mercurial Vapor 13 Club IC is made for high-speed play. A synthetic upper wraps your foot for streamlined speed, while a rubber outsole gives you the traction you need to strike fast.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/e231e5f0-f009-4117-9861-75a3ce3cb9e1/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/91268529-c0ea-4cb0-80e2-6dfbc86a5b84/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/840273f2-eb60-4891-a686-cb0d1988c620/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/8baf7e32-36ad-46e6-9a33-f134ec0d43f9/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3e455b55-f988-43eb-a763-2eecd24b8106/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/842d311e-d31a-45b9-be41-bfddcf06a7cb/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/54f9ee6f-a53c-4e7a-a3a8-0c47c3ccd022/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6f29ff1f-17c9-4ea0-bc95-c7365b024497/mercurial-vapor-13-club-ic-indoor-court-football-shoe-R2j3D1.jpg""]",2020-04-13T15:28:13
629,Nike Mercurial Vapor 13 Club MG,AT7968-606,0,4995,0,Nike,The Nike Mercurial Vapor 13 Club MG wraps your foot for streamlined speed. A versatile multi-ground plate provides traction on natural- and artificial-grass surfaces.,0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/e5c20bea-f388-4865-8a11-61e94103e02c/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ff4d1e60-6ab7-4aa9-b93b-4d91dda51420/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/62135114-49c3-4baa-8dd3-cd36d316c056/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f76c8b6e-4f47-4dc4-a56e-cdf1231072d9/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a398eed4-ec09-4bc9-961f-09cd9d8f2aa3/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dba55998-9bf0-4da1-8edb-6705d5ce2232/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/f02dc4a9-28d3-418d-a0d7-f94ab08d7fd5/mercurial-vapor-13-club-mg-multi-ground-football-boot-HrdKrp.jpg""]",2020-04-13T15:39:01
293,Nike Drop-Type Mid,BQ5190-101,6995,4897,0,Nike,"Part of the N354 family that nods to Steve Prefontaine's fastest mile, the Nike Drop-Type Mid is inspired by classic tennis shoes in the NikeCourt family. With distinct design lines that borrow from the All Court 2, it puts a raw, experimental edge on an iconic look.",5.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/tohghzwfreuerhbmki4z/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a1vlk8x7rayeqqrknk4b/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qvvb2srvljztynvqqlis/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/waz1eqpazoocrkwedfjb/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/blgbdgztgsiliqetgnru/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/l8akufzrxrrn2xqdknbp/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/q79mhnivcwmxfua9v7hd/drop-type-mid-shoe-T3Gb43.jpg""]",2020-04-13T15:32:28
191,Nike P-6000,CD6404-800,7995,4797,0,Nike,"The Nike P-6000 draws on the 2006 Nike Air Pegasus, bringing you a mash-up of iconic style that's breathable, comfortable and evocative of that early-2000s vibe.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/c4tlq3koheyvq0jwsql1/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tgqcwc1wimbdrxa2lgfk/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jleciyjvgzmjymrsxv4c/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qs8vznzxj6qw3dga8ljz/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/htmfskpadaog5fuvaa0z/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jssravljsgnj7hrxt8hr/p-6000-shoe-QcQbpx.jpg""]",2020-04-13T15:30:23
323,Nike Cortez '72 S.D.,CJ2586-100,7995,4797,0,Nike,"Inspired by Phil Knight's ""Shoe Dog"", the Nike Cortez '72 S.D. returns to the OG design with zigzag edges, an exposed foam tongue and minimalist leather. Why? Because you don't change what works.",4.4,9,"[""https://static.nike.com/a/images/t_PDP_1728_v1/gdyjuok7ldw15ijoonnz/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/irho0kaiwdfg0kx6jve0/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/j8fvucmigb6nibwu7x7l/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kwnzd9cmpa9whwbwl4ba/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wzdr70xnia7zohpw429t/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cke1eztbolfpyp63r2rt/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cxcwxgcpnewcq9lbpxyb/cortez-72-sd-shoe-2V16wZ.jpg""]",2020-04-13T15:32:34
96,Nike Daybreak SP,BV7725-500,7995,4797,0,Nike,"The Nike Daybreak SP marks the return of the 1979 original, featuring suede and nylon on the upper and old-school graphics on the tongue for a '70s runner-inspired look and feel.",5.0,3,"[""https://static.nike.com/a/images/t_PDP_1728_v1/oo8nfaxjvklmg4hzh8gh/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/avctwk4jytyysoelu8ig/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xomez0sfjzw6yj9dpdvo/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ke6euigjkc1wfyz8cfsl/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/y1wzqx17yxoy556g6tdu/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tsegm4guce9ko9roxd9o/daybreak-sp-shoe-30r2Zk.jpg""]",2020-04-13T15:28:19
529,Nike Zoom Rival Fly,CD7287-003,7995,4797,0,Nike,"Inspired by Japan's Ekiden relay runners, the Nike Zoom Rival Fly features a futuristic look with a Zoom Air unit in the forefoot that gives you responsive propulsion. Flex grooves underneath optimise toe-off and soft foam cushions your stride. The mesh and synthetic upper blends strength and breathability.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/y8crsqhn2fnog8bpb3s7/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/atbfooes2oucgrkkqnjf/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/yo4ml3yiosgzt0ianfiz/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ezn6vnuuebqwtmdbxrqc/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/sw07swazdapziww8kdkw/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/sblwb1llfxsom7fqekzo/zoom-rival-fly-running-shoe-gXV2M1.jpg""]",2020-04-13T15:36:44
498,Nike Free RN 5.0,AQ1316-500,7995,4797,0,Nike,"An ideal performer for runs of up to 3 miles, the Nike Free RN 5.0 returns to its roots as a running shoe. A stripped-down upper with single-layer mesh is stretchy to feel like a second skin. The lightweight midsole with less foam makes it easy to hit the ground running.",4.2,13,"[""https://static.nike.com/a/images/t_PDP_1728_v1/mhhgfrgzqsd6vecp415y/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rjqaftqhlgzzstqt4qip/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/il4wbelvtqfpojjb0fjo/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dswszdimy8ldd2xg59oo/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/w0u6urpjkscnaavupl1h/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/mpc9acfwmbz0eoutgbbf/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tux18x0biz39hsk6yazx/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ltcxzhumnqzelim4gsju/free-rn-5-running-shoe-fx7j0x.jpg""]",2020-04-13T15:36:34
